item_type,run_id,session,subtype,value,times_drawn,expected_times,draws_since,last_seen,baseline_priority_score,why_flagged,source_url
pair,RUN030,Evening,Split Pair Box,03,236,239.3,184,2025-11-06,2.60379,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN024,Evening,Front Pair Box,15,248,239.3,185,2025-11-05,2.6,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN007,Midday|Evening|Night,Back Pair Box,03,486,502,181,2026-03-10,2.591873,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN013,Midday,Front Pair Straight,13,86,97.6,343,2025-05-31,2.583852,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN026,Evening,Back Pair Straight,35,119,119.7,365,2025-05-09,2.580848,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN020,Midday,Split Pair Box,56,214,195.2,182,2025-11-08,2.57,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN024,Evening,Front Pair Box,69,228,239.3,177,2025-11-13,2.567221,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN026,Evening,Back Pair Straight,42,119,119.7,362,2025-05-12,2.565848,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN012,Midday,Any Position Box,45,535,526.9,67,2026-03-03,2.560811,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN037,Night,Back Pair Box,49,61,67.5,171,2025-11-19,2.556296,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN008,Midday|Evening|Night,Back Pair from Box Combination,34,534,,178,2026-03-11,2.53,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN011,Midday|Evening|Night,Split Pair from Box Combination,24,324,,178,2026-03-11,2.53,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN009,Midday|Evening|Night,Split Pair Straight,28,257,251,355,2026-01-11,2.525,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN036,Night,Back Pair Straight,33,30,33.7,332,2025-06-11,2.519792,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN037,Night,Back Pair Box,33,30,33.7,332,2025-06-11,2.519792,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN006,Midday|Evening|Night,Back Pair Straight,52,203,251,315,2026-01-24,2.516235,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN011,Midday|Evening|Night,Split Pair from Box Combination,77,28,,353,2026-01-12,2.515,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN007,Midday|Evening|Night,Back Pair Box,19,516,502,176,2026-03-12,2.51,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN033,Night,Front Pair Straight,84,31,33.7,333,2025-06-10,2.495119,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN009,Midday|Evening|Night,Split Pair Straight,59,260,251,347,2026-01-14,2.485,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN040,Night,Split Pair Box,49,66,67.5,171,2025-11-19,2.482222,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
